word_embedding,training_set,algorithm,descriptors,src,target,task,error,test_exist
wm,googleplay,custom,atm,a35,a33,b31,False,True
wm,googleplay,custom,atm,a11,a13,b12,False,True
wm,googleplay,custom,atm,a21,a24,b22,False,True
wm,googleplay,custom,atm,a22,a24,b22,False,True
wm,googleplay,custom,atm,a23,a24,b22,False,True
wm,googleplay,custom,atm,a25,a24,b22,False,True
wm,googleplay,custom,atm,a33,a35,b31,False,True
wm,googleplay,custom,atm,a33,a35,b32,False,True
wm,googleplay,custom,atm,a43,a44,b41,False,True
wm,googleplay,custom,atm,a45,a44,b41,False,True
wm,googleplay,custom,atm,a21,a22,b22,False,True
wm,googleplay,custom,atm,a35,a33,b32,False,True
wm,googleplay,custom,atm,a51,a52,b52,False,True
wm,googleplay,custom,atm,a51,a54,b52,False,True
wm,googleplay,custom,atm,a51,a55,b52,False,True
wm,googleplay,custom,atm,a52,a51,b52,False,True
wm,googleplay,custom,atm,a52,a55,b52,False,True
wm,googleplay,custom,atm,a53,a51,b52,False,True
wm,googleplay,custom,atm,a53,a52,b52,False,True
wm,googleplay,custom,atm,a53,a55,b52,False,True
wm,googleplay,custom,atm,a54,a51,b52,False,True
wm,googleplay,custom,atm,a54,a52,b52,False,True
wm,googleplay,custom,atm,a54,a55,b52,False,True
wm,googleplay,custom,atm,a55,a51,b52,False,True
wm,googleplay,custom,atm,a55,a52,b52,False,True
wm,googleplay,custom,atm,a55,a54,b52,False,True
glove,googleplay,custom,atm,a21,a22,b22,False,True
glove,googleplay,custom,atm,a11,a13,b12,False,True
glove,googleplay,custom,atm,a21,a24,b22,False,True
glove,googleplay,custom,atm,a21,a25,b22,False,True
glove,googleplay,custom,atm,a22,a21,b22,False,True
glove,googleplay,custom,atm,a22,a24,b22,False,True
glove,googleplay,custom,atm,a22,a25,b22,False,True
glove,googleplay,custom,atm,a23,a22,b22,False,True
glove,googleplay,custom,atm,a23,a24,b22,False,True
glove,googleplay,custom,atm,a24,a25,b22,False,True
glove,googleplay,custom,atm,a25,a24,b22,False,True
glove,googleplay,custom,atm,a35,a33,b32,False,True
glove,googleplay,custom,atm,a45,a43,b42,False,True
glove,googleplay,custom,atm,a45,a44,b42,False,True
glove,googleplay,custom,atm,a51,a52,b52,False,True
glove,googleplay,custom,atm,a51,a54,b52,False,True
glove,googleplay,custom,atm,a51,a55,b52,False,True
glove,googleplay,custom,atm,a52,a51,b52,False,True
glove,googleplay,custom,atm,a53,a51,b52,False,True
glove,googleplay,custom,atm,a53,a52,b52,False,True
glove,googleplay,custom,atm,a53,a55,b52,False,True
glove,googleplay,custom,atm,a54,a51,b52,False,True
glove,googleplay,custom,atm,a54,a52,b52,False,True
glove,googleplay,custom,atm,a54,a55,b52,False,True
glove,googleplay,custom,atm,a55,a51,b52,False,True
glove,googleplay,custom,atm,a55,a52,b52,False,True
glove,googleplay,custom,atm,a55,a53,b52,False,True
wm,googleplay,custom,atm,a14,a13,b12,True,True
wm,googleplay,custom,atm,a21,a23,b22,True,True
wm,googleplay,custom,atm,a44,a45,b41,True,True
wm,googleplay,custom,atm,a44,a45,b42,True,True
wm,googleplay,custom,atm,a54,a53,b52,True,True
glove,googleplay,custom,atm,a14,a13,b12,True,True
glove,googleplay,custom,atm,a43,a45,b42,True,True
wm,googleplay,custom,atm,a13,a11,b12,True,False
wm,googleplay,custom,atm,a21,a25,b22,False,True
wm,googleplay,custom,atm,a22,a21,b22,False,True
wm,googleplay,custom,atm,a22,a23,b22,True,False
wm,googleplay,custom,atm,a22,a25,b22,False,True
wm,googleplay,custom,atm,a23,a21,b22,True,True
wm,googleplay,custom,atm,a23,a22,b22,False,True
wm,googleplay,custom,atm,a23,a25,b22,False,True
wm,googleplay,custom,atm,a24,a21,b22,True,True
wm,googleplay,custom,atm,a24,a22,b22,False,True
wm,googleplay,custom,atm,a24,a23,b22,True,False
wm,googleplay,custom,atm,a24,a25,b22,False,True
wm,googleplay,custom,atm,a25,a21,b22,True,True
wm,googleplay,custom,atm,a25,a22,b22,False,True
wm,googleplay,custom,atm,a25,a23,b22,True,False
wm,googleplay,custom,atm,a43,a45,b41,True,True
wm,googleplay,custom,atm,a44,a43,b41,True,False
wm,googleplay,custom,atm,a45,a43,b41,True,False
wm,googleplay,custom,atm,a43,a44,b42,True,True
wm,googleplay,custom,atm,a43,a45,b42,True,False
wm,googleplay,custom,atm,a44,a43,b42,True,False
wm,googleplay,custom,atm,a45,a43,b42,True,False
wm,googleplay,custom,atm,a45,a44,b42,False,True
wm,googleplay,custom,atm,a51,a53,b52,False,True
wm,googleplay,custom,atm,a52,a53,b52,False,True
wm,googleplay,custom,atm,a52,a54,b52,False,True
wm,googleplay,custom,atm,a53,a54,b52,False,True
wm,googleplay,custom,atm,a55,a53,b52,True,False
glove,googleplay,custom,atm,a21,a23,b22,True,False
glove,googleplay,custom,atm,a22,a23,b22,True,True
glove,googleplay,custom,atm,a23,a21,b22,True,True
glove,googleplay,custom,atm,a23,a25,b22,False,True
glove,googleplay,custom,atm,a24,a21,b22,True,True
glove,googleplay,custom,atm,a24,a22,b22,True,False
glove,googleplay,custom,atm,a24,a23,b22,True,False
glove,googleplay,custom,atm,a25,a21,b22,True,True
glove,googleplay,custom,atm,a25,a22,b22,False,True
glove,googleplay,custom,atm,a25,a23,b22,True,False
glove,googleplay,custom,atm,a33,a35,b31,False,True
glove,googleplay,custom,atm,a35,a33,b31,True,False
glove,googleplay,custom,atm,a33,a35,b32,False,True
glove,googleplay,custom,atm,a43,a44,b41,False,True
glove,googleplay,custom,atm,a43,a45,b41,True,False
glove,googleplay,custom,atm,a44,a43,b41,True,False
glove,googleplay,custom,atm,a44,a45,b41,True,False
glove,googleplay,custom,atm,a45,a43,b41,True,False
glove,googleplay,custom,atm,a45,a44,b41,True,True
glove,googleplay,custom,atm,a43,a44,b42,False,True
glove,googleplay,custom,atm,a44,a43,b42,False,True
glove,googleplay,custom,atm,a44,a45,b42,True,True
glove,googleplay,custom,atm,a51,a53,b52,False,True
glove,googleplay,custom,atm,a52,a53,b52,False,True
glove,googleplay,custom,atm,a52,a54,b52,True,False
glove,googleplay,custom,atm,a52,a55,b52,True,False
glove,googleplay,custom,atm,a53,a54,b52,True,False
glove,googleplay,custom,atm,a54,a53,b52,True,False
glove,googleplay,custom,atm,a55,a54,b52,True,False
